746|202003|9|205002||000|1|P|68|36|95000|68|3.75|R|N|FRM|OH|SF|45300|F120Q1002235|N|360|02|Other sellers|Other servicers|||9||2
729|202003|N|205002|26900|12|1|P|85|31|96000|85|4|R|N|FRM|IN|SF|46100|F120Q1002315|P|360|01|Other sellers|Other servicers|||9||2
756|202003|9|205002|24660|000|1|P|65|31|136000|65|3.875|R|N|FRM|NC|SF|27300|F120Q1002352|N|360|01|Other sellers|Other servicers|||9||2
721|202003|N|205002||25|1|P|90|38|201000|90|4|R|N|FRM|KY|SF|40600|F120Q1002359|P|360|01|Other sellers|PNC BANK, NA|||9||2
777|202003|Y|205002|17020|30|1|P|94|30|356000|94|4|R|N|FRM|CA|SF|95900|F120Q1002421|P|360|01|Other sellers|Other servicers|||9||2
734|202003|9|204502|24020|12|1|P|84|40|192000|84|3.75|R|N|FRM|NY|SF|12800|F120Q1002435|N|300|02|Other sellers|Other servicers|||9||2
800|202003|9|205002|37900|000|1|P|18|27|68000|18|3.75|R|N|FRM|IL|SF|61500|F120Q1002446|C|360|01|Other sellers|ARVEST CENTRAL MORTGAGE COMPANY|||9||2
738|202003|9|204002|20260|000|1|I|72|25|115000|72|4.25|R|N|FRM|MN|SF|55800|F120Q1002470|C|240|02|Other sellers|Other servicers|||9||2
772|202003|9|205002||000|1|S|80|33|310000|80|3.75|R|N|FRM|OR|CO|97700|F120Q1002485|P|360|02|Other sellers|Other servicers|||9||2
716|202003|Y|205002||25|1|P|97|37|78000|97|4.25|R|N|FRM|PA|SF|16900|F120Q1002506|P|360|01|Other sellers|Other servicers|||H||2
713|202004|N|203503|37900|000|1|P|80|35|220000|80|3.125|R|N|FRM|IL|SF|61500|F120Q1002619|P|180|02|Other sellers|Other servicers|||9||2
785|202004|9|203503|31540|000|1|P|69|21|400000|69|3.25|R|N|FRM|WI|SF|53500|F120Q1002732|C|180|02|Other sellers|Other servicers|||9||1
682|202003|N|205002|14454|000|1|P|79|43|430000|79|4.75|R|N|FRM|MA|SF|02300|F120Q1002733|P|360|02|Other sellers|Other servicers|||9||2
736|202003|9|205002|19500|25|1|P|90|25|198000|90|3.625|R|N|FRM|IL|SF|62500|F120Q1002825|N|360|02|Other sellers|ARVEST CENTRAL MORTGAGE COMPANY|||9||2
774|202003|9|205002||000|1|S|68|19|235000|68|3.875|R|N|FRM|ME|SF|04600|F120Q1002844|C|360|02|Other sellers|Other servicers|||9||2
666|202005|N|205004|31700|000|1|P|49|41|300000|49|3.125|R|N|FRM|NH|SF|03000|F120Q1002852|P|360|02|Other sellers|Other servicers|||9||2
797|202004|9|203503|19780|000|1|P|59|23|440000|59|3.625|R|N|FRM|IA|SF|50200|F120Q1002873|C|180|02|Other sellers|Other servicers|||9||2
807|202004|N|205003||000|1|P|38|24|40000|38|3.375|R|N|FRM|MN|SF|55900|F120Q1002877|P|360|01|Other sellers|Other servicers|||9||2
768|202005|9|205004||000|1|P|55|46|122000|55|3.75|R|N|FRM|VA|SF|22900|F120Q1002896|C|360|02|Other sellers|Other servicers|||9||2
808|202004|Y|205003|13900|30|1|P|95|43|313000|95|3.5|R|N|FRM|ND|SF|58500|F120Q1002926|P|360|01|Other sellers|Other servicers|||9||2
718|202004|9|205003|38900|000|1|P|75|43|240000|75|4.25|R|N|FRM|WA|SF|98600|F120Q1002994|C|360|01|Other sellers|Other servicers|||9||2
687|202003|9|205002|18140|000|1|I|60|42|114000|60|4.375|R|N|FRM|OH|SF|43100|F120Q1002999|C|360|02|JPMORGAN CHASE BANK, NATIONAL ASSOCIATION|JPMORGAN CHASE BANK, NATIONAL ASSOCIATION|||9||2
792|202003|N|205002|48424|000|1|P|60|33|300000|60|3.5|R|N|FRM|FL|PU|33400|F120Q1003003|P|360|01|JPMORGAN CHASE BANK, NATIONAL ASSOCIATION|JPMORGAN CHASE BANK, NATIONAL ASSOCIATION|||9||2
768|202004|9|205003|38900|000|1|P|68|23|433000|68|3.75|R|N|FRM|OR|SF|97100|F120Q1003017|C|360|02|Other sellers|Other servicers|||9||2
733|202003|9|203502|12060|000|1|P|16|32|43000|16|3.5|R|N|FRM|GA|SF|30200|F120Q1003018|N|180|02|Other sellers|Other servicers|||9||2
759|202004|9|204003||000|1|P|69|38|144000|69|3.625|R|N|FRM|MT|SF|59700|F120Q1003052|N|240|02|Other sellers|Other servicers|||9||1
783|202003|9|205002|38900|000|1|P|80|33|440000|80|4|R|N|FRM|WA|SF|98600|F120Q1003067|C|360|01|Other sellers|Other servicers|||9||2
